"price","model","year","mileage","mpg","fuelType","engineSize","tax","transmission"
7,"Up",2017,39,64.2,"Petrol",1,145,"Manual"
8.78,"Up",2019,5.6,54.3,"Petrol",1,145,"Manual"
6.99,"Up",2016,10.876,64.2,"Petrol",1,20,"Manual"
7.498,"Up",2016,11.215,64.2,"Petrol",1,20,"Manual"
9.9,"Up",2019,10.75,52.3,"Petrol",1,145,"Manual"
9.641,"Up",2020,3.5,54.3,"Petrol",1,145,"Manual"
4.95,"Up",2014,50.918,62.8,"Petrol",1,20,"Manual"
6.4,"Up",2016,42.781,62.8,"Petrol",1,20,"Manual"
9.999,"Up",2018,9.726,64.2,"Petrol",1,145,"Manual"
9.99,"Up",2019,3,54.3,"Petrol",1,145,"Manual"
10.99,"Up",2020,1.201,54.3,"Petrol",1,145,"Manual"
7.99,"Up",2018,5.399,64.2,"Petrol",1,150,"Manual"
10.355,"Up",2019,9.999,54.3,"Petrol",1,145,"Manual"
8.96,"Up",2019,5.985,54.3,"Petrol",1,145,"Manual"
5.695,"Up",2016,40.524,62.8,"Petrol",1,20,"Manual"
7.25,"Up",2017,17.546,64.2,"Petrol",1,20,"Manual"
5.999,"Up",2014,27.29,62.8,"Petrol",1,20,"Manual"
7.999,"Up",2017,23.656,64.2,"Petrol",1,20,"Manual"
7.49,"Up",2016,19.5,64.2,"Petrol",1,20,"Manual"
6.898,"Up",2017,15.182,64.2,"Petrol",1,20,"Manual"
10.95,"Up",2020,2.038,54.3,"Petrol",1,145,"Manual"
4.795,"Up",2013,19.083,62.8,"Petrol",1,20,"Manual"
10.79,"Up",2019,1.961,54.3,"Petrol",1,145,"Manual"
7.49,"Up",2017,14.487,64.2,"Petrol",1,145,"Manual"
9.69,"Up",2020,2.277,54.3,"Petrol",1,145,"Manual"
9.699,"Up",2019,1.243,54.3,"Petrol",1,145,"Manual"
7.54,"Up",2017,21.115,64.2,"Petrol",1,20,"Manual"
6.495,"Up",2015,46.731,60.1,"Petrol",1,20,"Manual"
8.2,"Up",2015,8.283,60.1,"Petrol",1,20,"Manual"
9.001,"Up",2018,14.479,68.9,"Petrol",1,150,"Manual"
8.995,"Up",2018,12.837,64.2,"Petrol",1,145,"Manual"
6.4,"Up",2016,26.326,62.8,"Petrol",1,20,"Manual"
6.995,"Up",2016,19.539,62.8,"Petrol",1,20,"Manual"
5.3,"Up",2015,39.856,62.8,"Petrol",1,20,"Manual"
5.395,"Up",2013,34.515,60.1,"Petrol",1,20,"Manual"
6.991,"Up",2014,26,60.1,"Petrol",1,20,"Manual"
6,"Up",2016,33.779,62.8,"Petrol",1,20,"Manual"
6.898,"Up",2016,26.902,64.2,"Petrol",1,20,"Manual"
4.091,"Up",2014,78.847,62.8,"Petrol",1,20,"Manual"
8,"Up",2018,6.19,54.3,"Petrol",1,145,"Manual"
4.33,"Up",2014,49.16,62.8,"Petrol",1,20,"Manual"
4.2,"Up",2014,54.619,62.8,"Petrol",1,20,"Manual"
7,"Up",2017,31.342,64.2,"Petrol",1,150,"Manual"
8.695,"Up",2016,17,67.3,"Petrol",1,0,"Manual"
5.491,"Up",2016,30.674,64.2,"Petrol",1,20,"Manual"
7.495,"Up",2017,11.124,64.2,"Petrol",1,20,"Manual"
13.317,"Up",2020,5,50.4,"Petrol",1,145,"Manual"
5.799,"Up",2014,13.318,62.8,"Petrol",1,20,"Manual"
6.45,"Up",2017,29.455,64.2,"Petrol",1,20,"Manual"
7.495,"Up",2017,15,64.2,"Petrol",1,150,"Manual"
7.45,"Up",2016,28.895,64.2,"Petrol",1,20,"Manual"
8.499,"Up",2017,24.388,64.2,"Petrol",1,20,"Manual"
5.969,"Up",2015,21.603,61.4,"Petrol",1,20,"Manual"
8.99,"Up",2017,18.172,60.1,"Petrol",1,150,"Manual"
8.79,"Up",2019,3.5,54.3,"Petrol",1,145,"Manual"
6.5,"Up",2013,39.337,60.1,"Petrol",1,20,"Manual"
6.865,"Up",2015,38.833,61.4,"Petrol",1,20,"Manual"
7.4,"Up",2017,12.314,68.9,"Petrol",1,145,"Manual"
6.995,"Up",2016,25.562,62.8,"Petrol",1,20,"Manual"
9.99,"Up",2019,2,54.3,"Petrol",1,150,"Manual"
7.3,"Up",2016,30.445,61.4,"Petrol",1,20,"Manual"
7.95,"Up",2018,23.636,64.2,"Petrol",1,150,"Manual"
7,"Up",2015,41.065,61.4,"Petrol",1,20,"Manual"
6.8,"Up",2017,20,64.2,"Petrol",1,145,"Manual"
7.8,"Up",2017,16.7,60.1,"Petrol",1,145,"Manual"
9.9,"Up",2019,5,54.3,"Petrol",1,145,"Manual"
6.562,"Up",2017,42.998,64.2,"Petrol",1,145,"Manual"
6.995,"Up",2016,18.5,64.2,"Petrol",1,20,"Manual"
